# Metaphor + ballet/piano expansion pass (2026-06-07): NEW spoken + narration lines added
# to clarify the "romance on letterhead" metaphor, add the Kaoru-piano ballet-practice scene,
# and deepen Kaoru's motivation arc. These are currently SILENT in the .rpy (no `voice` line,
# no allocated ID). A later audio step should allocate fresh IDs (next free per design doc:
# toa_474+, kaoru_595+, narrator_479+), voice them, and add the `voice` statements.
# Each record: FILE | LABEL | SPEAKER | TEXT  (placed AFTER a consumed say/voice; no leakage).
#
# Narration (SPEAKER = narrator) is currently unvoiced and CAN stay unvoiced, but the new
# ballet scene is a key beat, so its narration is listed here as eventual-voicing candidates
# to match the existing AU's heavily-voiced narrator.
#
# ============================================================================
# game/au_modern_wrong_floor.rpy  (3 new spoken lines)  -- metaphor coinage + motivation
# ============================================================================
au_modern_wrong_floor.rpy | au_modern_contract_menu (exclusive branch) | kaoru | Hear the word I used. *Not.* On letterhead would mean I filed us. Your name beside mine, a relationship of record, a thing the Council can open and read and rule on. The rider is the opposite of that. Calendar, clause, after-hours access. We keep the real word out of every box a clerk could subpoena, and we call the keeping-out a rider.
au_modern_wrong_floor.rpy | au_modern_contract_menu (exclusive branch) | toa | So that is the trick of the letterhead. We file the courtship as procedure precisely so neither of us has to admit it is one. The clause is the flirting. The filing is the romance. I will not put that in writing. I am, as you keep noting, very good at not putting things in writing.
au_modern_wrong_floor.rpy | au_modern_studio_audition | kaoru | I will say one thing for the record and deny it under oath later. You stopped apologizing on the second pass. That is discipline, not charm. Discipline is the one thing in this building I respect without a form ordering me to.
#
# ============================================================================
# game/au_modern_case1_compliance.rpy  (24 new spoken + 15 new narration)
# ============================================================================
# --- NEW SCENE: au_modern_case1_studio_session (ballet class / Kaoru at the piano) ---
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | The city rents the corner studio by the hour, the same kind of room he had once made her audition in: mirror wall, a barre bolted along it, rain ticking the glass like a clerk tapping a stamp. The only new fact in the room is the upright piano against the far wall, municipal brown, a half-step out of tune, the lid already up as if it had been waiting for someone with a reason.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | kaoru | Your witness clause runs both directions today. You have documented four of my inspections. An auditor who has never seen the deliverable cannot certify it. So I am here to witness one of yours. Run a class. I will sit where I can see you and the mirror.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | You want to witness a whole ballet class. Barre to reverence. Most of it is in French and none of it will hold still for your clipboard.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | kaoru | Then translate as you go. I have audited stranger languages than yours, and most of them were also hiding something in the footnotes.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | She gave him the structure the way she would have given it to any inspector who asked, because narrating the next step was the only way to keep her hands from apologizing for the room.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | Barre first. It warms the instrument, slow before fast, small before large. Plie, to bend. Tendu, to stretch the foot along the floor without lifting it. Degage, the same stretch let off the ground. Rond de jambe, the toe drawing a half circle. Then fondu, frappe, and grand battement, which is the leg thrown up like an objection nobody bothered to sustain. The order is not negotiable. Even the Council would approve of the order.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | He watched her run the barre with the flat attention he gave a hearing, counting under his breath, low and even, the way he had counted her once in this same kind of room. Plie and recover. Tendu front, side, back. Somewhere in the rond de jambe she stopped performing for the witness and simply worked, and he registered the difference the way he registered everything, and filed it where he filed the things he intended to keep.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | She set her phone on the barre to play the centre music, a tinny recording through a speaker that had survived three tours. Kaoru looked at it the way he looked at a capacity chart that had already lied to him once.
