# Contract + rider narrator expansion pass (2026-06-07): NEW narration only (no `voice` in .rpy).
# Clarifies WHY Kaoru offers sponsorship (no patron / bureaucratic lifeline) and WHAT
# standard vs exclusive riders obligate (witness clause, distance vs proximity).
# Later audio step: allocate fresh IDs (next free narrator per design doc: narrator_479+),
# voice them, and add `voice` statements. No regen IDs: existing voiced lines unchanged.
# Each record: FILE | LABEL | SPEAKER | TEXT
#
# ============================================================================
# game/au_modern_wrong_floor.rpy  (9 new narration lines)
# ============================================================================
au_modern_wrong_floor.rpy | au_modern_wrong_floor_start (after narrator_472) | narrator | The Crane Conservatory had sent her off with a transfer letter and a stamp case. It had not sent her a patron, a roommate with pull, or a name anyone on floor fourteen B would recognize. Ryoko Port is a city of introductions, and she had none. No gallery owner waiting at the tram. No company director who owed the Conservatory a favor. No aunt in the ward office, no ex-classmate on the Council payroll. Just talent, paperwork, and a permit date the calendar had already crossed out.
au_modern_wrong_floor.rpy | au_modern_wrong_floor_start (after prior line) | narrator | A performing-arts sponsorship from the Arts Council is the only fast path the port offers a transfer dancer who arrives without institutional backing. Intake can queue you. A clerk can circle your expiration date in red. Only a deputy director in the Office of Arts and Licensing can sign the sponsorship and make you legal again. She needed a signatory of record before the port decided she had overstayed her welcome.
au_modern_wrong_floor.rpy | au_modern_studio_audition (before jump au_modern_contract_menu) | narrator | He does not owe her a signature. The queue is full of applicants with expired packets and better connections than hers. He could have sent her back to intake and let the board eat her on the public record she had already walked into. Instead he is preparing to sign, because the studio proved what the packet could not, and because a deputy who vouches for talent the Council has not yet met is doing the job the fast track was always supposed to do. The bureaucratic lifeline is not kindness. It is jurisdiction with a chop on it.
au_modern_wrong_floor.rpy | au_modern_contract_menu (after narrator_470, before kaoru_497) | narrator | The sponsorship itself is the permission: the Arts Council authorizes her to work as a performing artist in the port, and his chop on the form tells the board she will not embarrass the seal that funds her. That part is already decided. The riders are what hang off the permission and tell the office how she and the deputy who signed her are allowed to occupy the same building afterward.
au_modern_wrong_floor.rpy | au_modern_contract_menu (after narrator_474, before menu) | narrator | The standard performance rider is the distant one. Scheduled compliance reviews during business hours. Discretion about municipal accounts. No city seal cropped into a meme. The witness clause still applies: she documents his inspections on the record so the Council can see he is not inventing dancers or playing favorites. Independence stays intact. Proximity stays professional. The queue remembers you as an artist who filed boring paperwork and kept her distance.
au_modern_wrong_floor.rpy | au_modern_contract_menu (after prior line, before menu) | narrator | The exclusive rehearsal sponsor rider is the close one. After-hours studio access when the public rooms go dark. Direct deputy review instead of a rotating auditor. Calendar integration, which is bureaucratese for his schedule and hers sharing cells the intake counter never sees. The same witness clause, same favoritism insurance, but the inspections and the rehearsals and the logged hours pile up beside his name. Proximity becomes procedure. Procedure becomes the only language the port allows for wanting someone without filing romance on letterhead.
au_modern_wrong_floor.rpy | au_modern_contract_menu (after prior line, before menu) | narrator | One rider keeps her at arm's length from the man whose signature lets her stay. The other puts her on his calendar and in his after-hours rooms. Both keep her legal. Only one decides whether distance is a comfort or a cost.
au_modern_wrong_floor.rpy | au_modern_contract_menu (standard branch, after kaoru_498) | narrator | She initials the witness clause and files the rest under professional distance. The sponsorship will clear. The inspections will still find her. She will document what he points at and keep her name off his calendar except where the clause requires it. Independence, bought with boredom and a stamp.
au_modern_wrong_floor.rpy | au_modern_contract_menu (exclusive branch, before jump au_modern_elevator_unless) | narrator | She initials the witness clause and the calendar cells both. After-hours access. Direct review. His name beside hers in the portal where clerks can subpoena schedules but not feelings. Proximity filed as procedure. The port will call it sponsorship. She will learn to call it the only door that stayed open.
#
# ============================================================================
# game/au_modern_case1_compliance.rpy  (1 new narration line)
# ============================================================================
au_modern_case1_compliance.rpy | au_modern_case1_start (after narrator_468, before narrator_475) | narrator | The rider she chose on the contract floor only decided how close he stood. Standard or exclusive, the witness clause came with both.
